#,"Nice, and you are:",Ethnic Group Code,Monthly Household Income,District Code,Tertiary Institute,Tertiary_Other,What's the name of the tertiary institute?,"I have a certain amount of intelligence, and I can't really do much to change it.",My intelligence is something that I cannot change very much.,"I believe that no matter who you are, you can significantly change your intelligence level.",I believe that you can't really change how intelligent you are.,I believe that you can always substantially change how intelligent you are.,"You can learn new things, but you can't really change your basic intelligence.","No matter how much intelligence you have, whether high or low, you can always change it to quite a degree.",I can change even my basic intelligence level considerably.,"People have a certain amount of talent, and you can't really do much to change it.",Your talent is something you can't change very much.,"No matter who you are, you can significantly change your level of talent.","To be honest, you can't really change how much talent you have.",You can always substantially change how much talent you have.,"I can learn new things, but I can't really change my basic level of talent.","No matter how much talent you have, you can always change it quite a bit.",You can change even your basic talent level considerably.,I can make unpopular or difficult decisions that affect other people if necessary.,I don't think of myself as a strong person when dealing with life's challenges and difficulties.,"Under pressure, I stay focused and think clearly.","I prefer to take the lead in solving problems, rather than letting others make all the decisions.",I feel in control of my life.,I try to see the funny side of things when I am faced with problems.,"Good or bad, I believe that most things happen for a reason.",I don't believe that I can achieve my goals if there are problems.,"I work to attain my goals, no matter what problems I encounter along the way.",Having to cope with stress can make me stronger.,"On a whole, I am satisfied with myself.","At times, I think I'm no good at all.",I feel that I have a number of good qualities.,I am able to do things as well as most people.,I feel I do not have much to be proud of.,I certainly feel useless at times.,"I feel that I'm a person of worth, at least on an equal plane with others.",I wish I could have more respect for myself.,"All in all, I am inclined to feel that I am a failure.",I take a positive attitude towards myself.,I can always manage to solve difficult problems if I try hard enough.,"If someone opposes me, I can find means and ways to get what I want.",It is easy for me to stick to my aims and accomplish my goals.,I am confident that I can efficiently deal with unexpected events.,"Thanks to my resourcefulness, I know how to handle unforeseen situations.",I can solve most problems if I invest the necessary effort.,I can remain calm when facing difficulties because I can rely on my coping abilities.,"When I am confronted with a problem, I can usually find several solutions.","If I'm in a bind, I can usually think of something to do.","No matter what comes my way, I'm usually able to handle it.",It's fun to learn about unfamiliar subjects.,It's fascinating to learn new information.,I enjoy exploring new ideas.,"If I get to learn something new, I like to find out more.",It's fun to discuss abstract concepts.,I paint an interesting picture of the future for my group.,I'm always seeking new opportunities for my group.,I inspire my group with my plan for the future.,I have a clear understanding of where we are going.,I'm able to get others committed to my dream.,I would describe myself as someone who actively seeks as much information as I can in a new situation.,"When I am participating in an activity, I tend to get so involved that I lose track of time.",I frequently find myself looking for new opportunities to grow as a person.,I am <strong>not</strong> the type of person who probes deeply into new situations or things.,"When I am actively interested in something, it takes a great deal to interrupt me.",My friends would describe me as someone who is 'extremely intense' when in the middle of doing something.,"Everywhere I go, I am out looking for new things or experiences.",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,I am sensitive to what others are not saying.,I am aware of what others imply but do not say.,I understand how others feel.,I listen for more than just the spoken words.,I assure others that I will remember what they say.,I summarise points of agreement and disagreement when appropriate.,I keep track of points others make.,I assure others that I am listening by using verbal acknowledgements.,I assure others that I am receptive to their ideas.,I ask questions that show my understanding of others' positions.,"I show others that I am listening through my body language (e.g. head nods, eye contact)",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,How much do you contribute ideas/information/resources?,How participatory are you?,What is your typical standard of work quality?,How well do you manage your time?,How much do you support the team?,How prepared are you usually?,How do you participate in group problem solving?,How aware are you of the team dynamics and your impact on the team?,How supportive are you in a team?,How flexible are you between roles?,How self-reflective are you?,Score,Start Date (UTC),Submit Date (UTC),Network ID
88ea300e8e2ca8cca067b6f10aabf314,Female,3,"$7000 to $8,999",12,Polytechnic,,Singapore Polytechnic,5,5,3,5,3,4,4,3,5,4,4,4,4,5,4,4,3,4,4,4,4,3,3,3,5,5,5,3,5,5,3,3,5,3,3,4,5,5,3,5,4,5,5,3,4,5,4,5,5,5,4,3,3,3,3,3,3,3,3,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",7,2018-02-15 09:29:22,2018-02-15 09:48:34,e36cefabae
ee81277cfdc5f52e8ee087a9c430c6e1,Male,3,"$3,000 to $4,999",18,Junior College,,Dunman high school,6,6,7,5,5,5,5,5,6,5,6,5,5,5,4,6,5,3,6,6,6,5,6,6,6,6,7,6,5,6,2,1,6,6,1,6,6,6,6,6,5,6,6,6,5,6,7,6,5,6,5,7,6,6,7,6,6,6,6,6,6,5,6,5,5,6,6,6,5,6,7,7,6,6,6,6,6,7,5,,,,,,"I usually share ideas, information and resources.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I sometimes listen to, respect, acknowledge, or support the efforts of others. At times I allow conflict of personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.","Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",8,2018-02-15 06:35:05,2018-02-15 06:40:57,84fcb37e1d
88a96744757ee0d5bdd8e6b41734aa55,Female,3,"$3,000 to $4,999",27,Polytechnic,,RP,4,3,5,3,5,3,4,5,3,3,5,3,5,2,5,3,5,3,6,6,6,4,6,3,5,6,6,6,5,6,5,5,5,3,3,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,4,4,4,5,5,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.","Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",10,2018-02-15 05:04:33,2018-02-15 05:12:38,719b74849e
56f1b3da25930ad63e496e8f5950d0de,Male,3,"$3,000 to $4,999",20,Polytechnic,,Republic,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,6,1,1,3,3,5,5,4,4,3,7,2,4,7,6,3,5,5,4,3,3,4,2,3,5,3,3,2,2,4,4,3,4,3,3,3,3,3,3,2,2,3,6,3,2,3,3,4,2,1,3,2,4,4,4,3,3,3,3,3,2,4,,,,,,"I share ideas, information and resources upon request.",I tend not to participate or remain engaged when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.",I usually do not participate in group problem solving with an open mind. I either tend not to share my thoughts and ideas or I inhibit the contributions of others.,I do not know how to gauge my own impact on the group and am generally unaware of team dynamics.,"I sometimes listen to, respect, acknowledge, or support the efforts of others. At times I allow conflict of personal differences to interfere with communication.",I like to either lead or follow but I am uncomfortable when functioning outside my perceived role.,I rarely engage in self-reflections after collaborative activities but tend to focus on the behaviour of others.,9,2018-02-15 03:10:29,2018-02-15 04:57:41,4f59af5e93
c8b67659b8960fc8ba8c80fc04b6d6b0,Male,3,"$1,000 to $2,999",25,Polytechnic,,Republic Polytechnic,6,5,4,4,5,5,4,5,5,4,5,5,4,5,4,5,5,3,5,5,5,4,6,5,5,5,5,4,5,4,4,5,4,6,6,5,5,4,5,5,4,5,5,5,4,5,5,5,6,5,5,5,5,5,6,5,5,6,5,5,5,5,4,6,4,5,5,5,6,6,6,7,6,5,6,6,5,4,5,,,,,,"I share ideas, information and resources upon request.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",8,2018-02-15 04:20:35,2018-02-15 04:33:34,edd4c8b8da
afe27d4462c1d4babb3b027dc6fcb5a5,Male,3,"$13,000 to $14,999",27,Polytechnic,,SP,6,4,5,5,4,5,4,4,5,4,5,3,5,5,5,3,4,3,4,5,5,5,4,5,5,4,5,3,5,5,5,3,5,4,3,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,6,5,4,3,4,5,5,5,5,6,5,5,4,5,6,5,4,5,5,5,5,5,5,,,,,,"I share ideas, information and resources upon request.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",8,2018-02-15 03:22:27,2018-02-15 03:28:22,d26ac4ed27
bbbbe0c831cc81c59af27d96ed9ef14f,Female,3,"$3,000 to $4,999",28,Junior College,,Temasek junior college,3,3,5,3,5,4,5,5,3,3,5,3,5,3,5,5,6,3,5,5,6,5,5,3,5,5,6,2,6,6,2,2,6,2,2,6,6,6,6,6,5,5,6,5,5,5,6,6,6,6,6,6,6,4,5,4,6,6,5,3,4,4,5,4,5,5,5,6,4,6,6,6,6,5,5,6,5,6,6,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",7,2018-02-15 03:08:19,2018-02-15 03:28:17,648676ffa0
05460c0a166fbf63762bcb4b8f0d2822,Female,3,"$5,000 to $6,999",12,Junior College,,Anglo-Chinese,1,2,2,5,2,2,4,5,2,2,6,1,5,1,5,4,7,1,6,5,7,6,7,1,7,7,7,2,7,7,1,1,7,1,1,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,1,5,6,7,6,6,6,6,6,2,6,6,6,3,5,5,6,6,7,7,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,12,2018-02-15 03:06:29,2018-02-15 03:15:20,37a64e89f0
b988c08dd7e5364b0a3eb0bd06ef5f2e,Female,3,"$9,000 to $10,999",16,Junior College,,Tampines,4,3,5,3,5,3,5,5,5,5,5,5,3,5,3,3,2,3,5,1,6,6,6,1,6,7,7,2,7,7,1,3,7,1,1,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,5,5,5,5,6,3,7,2,7,5,7,5,7,7,7,6,7,7,6,7,7,5,7,7,6,7,7,,,,,,"I usually share ideas, information and resources.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,11,2018-02-15 03:01:41,2018-02-15 03:10:10,9cc6a8c0d7
5c664b63a5a70cd42e9cb6fdf32a3798,Female,3,"$5,000 to $6,999",27,Junior College,,Sajc,5,5,3,5,4,4,3,3,5,5,3,5,3,5,3,3,3,5,4,4,4,5,5,2,6,4,4,5,5,5,4,5,5,5,4,4,3,3,3,3,3,5,4,5,5,5,5,5,4,5,3,3,3,3,5,4,4,4,4,4,5,3,5,2,5,5,3,5,5,6,5,6,6,5,5,5,5,5,5,,,,,,"I share ideas, information and resources upon request.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,9,2018-02-14 17:12:52,2018-02-14 17:24:33,a2c9e0a850
e34d19f26b06c6e625d64c5bec71c640,Female,3,"$5,000 to $6,999",18,Junior College,,Temasek JC,3,3,5,3,5,4,5,5,3,3,5,3,6,3,6,6,5,3,5,3,6,5,6,3,6,6,6,2,5,6,2,2,7,3,1,5,5,5,5,5,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,6,5,7,5,5,5,6,3,5,5,6,5,7,7,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-02-14 15:41:51,2018-02-14 15:55:00,3077c01e32
b3656b4d0734725cbf4b802b5382ef2e,Female,3,"$3,000 to $4,999",18,ITE,,College east,3,4,4,5,5,5,4,3,5,5,4,5,4,5,5,3,6,3,5,6,6,7,6,5,6,6,6,5,5,6,2,2,6,1,1,7,7,6,5,5,5,5,6,5,5,5,6,6,6,6,6,5,5,6,6,6,6,4,6,3,6,6,6,4,6,6,6,6,2,2,6,5,6,6,6,6,6,6,6,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",11,2018-02-14 14:11:56,2018-02-14 14:22:25,eb4fe872e8
0077198833f896ab416292001bc14f70,Male,3,"$1,000 to $2,999",23,Did not continue,,,1,1,7,1,7,1,7,7,1,1,7,1,7,1,1,7,7,1,7,7,7,7,7,1,7,7,7,1,7,7,1,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,,,,,,"I usually share ideas, information and resources.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",10,2018-02-14 11:36:53,2018-02-14 11:47:15,645e2b7d1e
f43c78f352f26cee957daee9796a52e7,Male,4,"Below $1,000",18,ITE,,ITE College East,5,4,5,4,5,6,6,5,6,5,5,3,5,5,5,5,5,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,6,5,5,5,4,5,4,5,4,5,5,4,5,4,5,6,6,6,6,6,6,7,5,6,5,5,5,2,5,4,6,5,6,6,5,5,5,5,6,6,6,5,5,5,5,5,6,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I usually bring needed materials and come ready to work.,"I make an effort to participate in group problem solving with an open mind. I generally share my thoughts and ideas, but I sometimes inhibit the contributions of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",8,2018-02-14 09:51:28,2018-02-14 10:19:04,f169a85263
3b8ae40d83fdef3906628e9a7cd29193,Male,3,"Below $1,000",16,Junior College,,Temasek,5,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4,6,2,6,6,6,4,6,2,6,6,6,6,5,5,5,5,5,5,5,4,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,6,5,6,7,6,7,4,4,5,6,5,5,5,5,5,6,7,6,7,5,7,5,6,6,6,6,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,11,2018-02-14 08:28:26,2018-02-14 08:40:54,55bbd5607c
524168a0037331df3ee97316fc58bd42,Female,3,"$5,000 to $6,999",18,Junior College,,Meridian,5,4,3,4,3,5,3,3,3,4,4,3,4,3,4,4,5,3,5,5,6,4,4,3,4,5,5,3,5,5,3,3,7,3,2,6,5,3,5,6,5,5,6,5,5,5,5,5,5,4,6,4,4,4,4,5,7,4,5,3,5,2,4,6,7,7,5,7,5,6,6,6,5,4,5,7,6,5,7,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,10,2018-02-14 04:24:41,2018-02-14 04:45:05,9c036246c2
0c43395d3cc26a901b487dc4535b7cd2,Female,3,"$5,000 to $6,999",18,ITE,,ITE CE,3,3,5,3,5,3,5,5,3,2,6,2,6,2,6,6,5,4,4,4,3,4,5,3,5,5,4,4,4,5,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,6,6,6,4,5,4,5,6,6,4,5,4,4,5,3,5,3,5,4,4,5,5,6,,,,,,"I usually share ideas, information and resources.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,8,2018-02-14 03:48:20,2018-02-14 03:59:11,75d17b1ca9
0d4f9e761dd1b563d4edbb0748f05d6b,Female,4,"$1,000 to $2,999",23,ITE,,ITE college east,4,4,7,3,7,4,7,5,4,4,7,4,4,4,7,5,4,5,5,4,5,5,6,1,7,7,5,4,4,5,3,3,5,4,1,7,7,4,7,7,5,5,5,4,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,4,3,5,7,4,4,5,4,6,7,5,4,4,4,4,4,4,,,,,,"I usually share ideas, information and resources.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,8,2018-02-14 03:23:39,2018-02-14 03:34:40,2658c81c87
9dc181c24d3d10d4750f04f3596bfda8,Male,3,"$9,000 to $10,999",18,ITE,,College East,6,3,6,2,6,3,5,5,6,5,4,5,5,5,4,5,6,6,4,4,4,7,7,5,4,7,5,7,4,4,6,6,5,6,7,5,5,4,5,5,5,5,6,5,5,5,7,6,6,6,5,6,6,6,5,5,6,5,6,5,5,3,5,4,4,4,4,4,6,7,6,7,5,6,5,6,6,6,6,,,,,,"I share ideas, information and resources upon request.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,"I make an effort to bring or find materials needed to work, but often misplace things.","I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,8,2018-02-14 03:08:54,2018-02-14 03:18:55,2658c81c87
fd72e3056b3872e31688a9fb334db76c,Male,3,"$3,000 to $4,999",18,ITE,,College East,3,3,6,2,6,2,7,7,6,2,6,2,6,2,6,6,6,2,6,4,4,7,7,3,6,4,7,1,7,6,4,6,6,6,2,6,6,3,3,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,4,6,3,5,5,6,6,7,7,4,7,7,6,6,6,6,6,4,,,,,,I freely share ideas information and resources.,I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,11,2018-02-14 03:09:05,2018-02-14 03:18:34,e19ce8083a
